time,total,unique,duplicate,unreachable,reachable,stale,pristine
2022-10-12,317,308,9,75,233,21,212
2022-10-13,316,307,9,79,228,16,212
2022-10-14,318,309,9,82,227,21,206
2022-10-15,318,311,7,78,233,17,216
2022-10-16,318,307,11,82,225,16,209
2022-10-17,317,311,6,83,228,9,219
2022-10-18,314,304,10,87,217,17,200
2022-10-19,318,310,8,90,220,14,206
2022-10-20,319,314,5,98,216,20,196
2022-10-21,319,313,6,102,211,13,198
2022-10-22,319,316,3,86,230,20,210
2022-10-23,322,308,14,76,232,18,214
2022-10-24,317,309,8,61,248,20,228
2022-10-25,317,315,2,73,242,13,229
2022-10-26,319,307,12,69,238,12,226
2022-10-27,317,311,6,73,238,13,225
2022-10-28,314,305,9,84,221,9,212
2022-10-29,314,309,5,74,235,22,213
2022-10-30,320,319,1,83,236,20,216
2022-10-31,313,308,5,76,232,20,212
2022-11-01,280,273,7,74,199,20,179
2022-11-02,320,311,9,74,237,13,224
2022-11-03,316,308,8,75,233,13,220
2022-11-04,318,309,9,76,233,24,209
2022-11-05,320,312,8,91,221,18,203
2022-11-06,320,309,11,68,241,17,224
2022-11-07,318,313,5,71,242,13,229
2022-11-08,319,312,7,72,240,19,221
2022-11-09,317,310,7,73,237,15,222
2022-11-10,319,315,4,79,236,19,217
2022-11-11,317,312,5,70,242,14,228
2022-11-12,316,307,9,71,236,15,221
2022-11-13,321,319,2,79,240,23,217
2022-11-14,313,307,6,63,244,17,227
2022-11-15,319,309,10,85,224,18,206
2022-11-16,322,314,8,76,238,14,224
2022-11-17,327,318,9,78,240,19,221
2022-11-18,316,310,6,79,231,22,209
2022-11-19,322,311,11,74,237,15,222
2022-11-20,318,310,8,80,230,17,213
2022-11-21,321,316,5,85,231,21,210
2022-11-22,323,313,10,88,225,17,208
2022-11-23,320,315,5,85,230,21,209
2022-11-24,322,317,5,80,237,13,224
2022-11-25,319,312,7,84,228,17,211
2022-11-26,319,315,4,79,236,22,214
2022-11-27,316,311,5,72,239,14,225
2022-11-28,316,311,5,86,225,15,210
2022-11-29,317,311,6,80,231,21,210
2022-11-30,318,311,7,76,235,25,210
2022-12-01,318,308,10,86,222,19,203
2022-12-02,313,307,6,42,265,17,248
2022-12-03,319,310,9,71,239,19,220
2022-12-04,323,315,8,61,254,14,240
2022-12-05,319,305,14,50,255,19,236
2022-12-06,316,306,10,47,259,20,239
2022-12-07,318,305,13,49,256,26,230
2022-12-08,321,315,6,50,265,25,240
2022-12-09,317,310,7,57,253,31,222
2022-12-10,316,304,12,56,248,26,222
2022-12-11,318,305,13,53,252,31,221
2022-12-12,315,306,9,44,262,24,238
2022-12-13,317,305,12,58,247,19,228
2022-12-14,318,306,12,52,254,18,236
2022-12-15,315,296,19,51,245,21,224
2022-12-16,320,310,10,59,251,25,226
2022-12-17,318,307,11,65,242,26,216
2022-12-18,315,307,8,52,255,21,234
2022-12-19,317,305,12,60,245,29,216
2022-12-20,315,299,16,41,258,37,221
2022-12-21,319,310,9,50,260,27,233
2022-12-22,309,300,9,64,236,27,209
2022-12-23,320,308,12,73,235,19,216
2022-12-24,319,311,8,58,253,23,230
2022-12-25,319,302,17,62,240,20,220
2022-12-26,316,301,15,54,247,27,220
2022-12-27,318,302,16,61,241,31,210
2022-12-28,318,312,6,60,252,26,226
2022-12-29,319,311,8,67,244,18,226
2022-12-30,318,299,19,51,248,25,223
2022-12-31,317,307,10,51,256,19,237
2023-01-01,320,304,16,55,249,22,227
2023-01-02,312,302,10,47,255,19,236
2023-01-03,323,305,18,56,249,25,224
2023-01-04,318,311,7,54,257,28,229
2023-01-05,319,306,13,54,252,26,226
2023-01-06,314,303,11,57,246,26,220
2023-01-07,317,303,14,63,240,30,210
2023-01-08,321,307,14,58,249,15,234
2023-01-09,319,307,12,51,256,23,233
2023-01-10,316,300,16,51,249,32,217
2023-01-11,317,299,18,57,242,23,219
2023-01-12,319,315,4,57,258,24,234
2023-01-13,314,305,9,58,247,27,220
2023-01-14,319,305,14,70,235,24,211
2023-01-15,319,307,12,48,259,25,234
2023-01-16,328,317,11,53,264,31,233
2023-01-17,314,300,14,56,244,21,223
2023-01-18,318,303,15,51,252,27,225
2023-01-19,318,309,9,56,253,33,220
2023-01-20,320,313,7,58,255,29,226
2023-01-21,320,309,11,64,245,20,225
2023-01-22,322,313,9,62,251,27,224
2023-01-23,315,298,17,58,240,31,209
2023-01-24,315,302,13,54,248,18,230
2023-01-25,317,301,16,50,251,26,225
2023-01-26,315,302,13,47,255,27,228
2023-01-27,319,303,16,60,243,32,211
2023-01-28,319,305,14,62,243,21,222
2023-01-29,322,311,11,71,240,26,214
2023-01-30,317,309,8,66,243,20,223
2023-01-31,321,305,16,70,235,26,209
2023-02-01,315,307,8,53,254,29,225
2023-02-02,315,304,11,54,250,21,229
2023-02-03,317,302,15,55,247,31,216
2023-02-04,317,299,18,50,249,34,215
2023-02-05,318,306,12,50,256,33,223
2023-02-06,317,303,14,49,254,24,230
2023-02-07,317,309,8,67,242,28,214
2023-02-08,292,279,13,64,215,18,197
2023-02-09,318,309,9,53,256,11,245
2023-02-10,319,303,16,53,250,23,227
2023-02-11,315,299,16,62,237,21,216
2023-02-12,314,305,9,42,263,27,236
2023-02-13,315,299,16,46,253,23,230
2023-02-14,318,306,12,73,233,23,210
2023-02-15,315,303,12,51,252,30,222
2023-02-16,315,308,7,59,249,27,222
2023-02-17,319,307,12,59,248,21,227
2023-02-18,319,306,13,56,250,22,228
2023-02-19,313,300,13,39,261,26,235
2023-02-20,319,309,10,56,253,22,231
2023-02-21,318,309,9,54,255,25,230
2023-02-22,319,306,13,50,256,24,232
2023-02-23,321,305,16,50,255,27,228
2023-02-24,314,303,11,39,264,29,235
2023-02-25,318,300,18,60,240,24,216
2023-02-26,315,307,8,46,261,27,234
2023-02-27,315,310,5,46,264,31,233
2023-02-28,315,308,7,53,255,28,227
2023-03-01,318,310,8,52,258,23,235
2023-03-02,319,307,12,47,260,22,238
2023-03-03,320,305,15,54,251,33,218
2023-03-04,317,309,8,57,252,21,231
2023-03-05,316,303,13,44,259,25,234
2023-03-06,317,310,7,56,254,26,228
2023-03-07,318,310,8,48,262,28,234
2023-03-08,320,308,12,56,252,17,235
2023-03-09,316,308,8,44,264,18,246
2023-03-10,322,315,7,57,258,24,234
2023-03-11,318,305,13,46,259,28,231
2023-03-12,316,306,10,55,251,25,226
2023-03-13,317,305,12,43,262,18,244
2023-03-14,313,301,12,42,259,23,236
2023-03-15,294,279,15,48,231,28,203
2023-03-16,278,269,9,61,208,25,183
2023-03-17,281,273,8,53,220,19,201
2023-03-18,313,303,10,53,250,28,222
2023-03-19,280,274,6,52,222,25,197
2023-03-20,314,303,11,43,260,22,238
2023-03-21,316,311,5,58,253,25,228
2023-03-22,316,307,9,45,262,31,231
2023-03-23,279,273,6,50,223,21,202
2023-03-24,316,307,9,44,263,17,246
2023-03-25,318,307,11,53,254,27,227
2023-03-26,316,308,8,47,261,26,235
2023-03-27,315,305,10,45,260,27,233
2023-03-28,317,308,9,49,259,31,228
2023-03-29,314,308,6,48,260,22,238
2023-03-30,321,308,13,56,252,26,226
2023-03-31,319,312,7,55,257,26,231
2023-04-01,322,306,16,44,262,23,239
2023-04-02,322,315,7,52,263,20,243
2023-04-03,316,309,7,43,266,31,235
2023-04-04,315,304,11,37,267,30,237
2023-04-05,290,283,7,51,232,27,205
2023-04-06,293,285,8,42,243,16,227
2023-04-07,320,306,14,46,260,27,233
2023-04-08,317,311,6,53,258,21,237
2023-04-09,318,311,7,54,257,23,234
2023-04-10,319,308,11,53,255,26,229
2023-04-11,314,311,3,107,204,10,194
2023-04-12,320,308,12,54,254,28,226
2023-04-13,283,270,13,44,226,18,208
2023-04-14,318,310,8,51,259,29,230
2023-04-15,319,307,12,54,253,22,231
2023-04-16,320,314,6,46,268,22,246
2023-04-17,316,308,8,56,252,26,226
2023-04-18,320,310,10,39,271,27,244
2023-04-19,290,282,8,50,232,27,205
2023-04-20,319,310,9,52,258,21,237
2023-04-21,319,308,11,51,257,22,235
2023-04-22,319,306,13,59,247,27,220
2023-04-23,313,297,16,49,248,30,218
2023-04-24,322,311,11,54,257,25,232
2023-04-25,317,309,8,43,266,26,240
2023-04-26,320,310,10,49,261,23,238
2023-04-27,319,305,14,59,246,20,226
2023-04-28,319,309,10,63,246,21,225
2023-04-29,314,308,6,49,259,16,243
2023-04-30,316,304,12,60,244,28,216
2023-05-01,320,313,7,50,263,17,246
2023-05-02,319,312,7,50,262,23,239
2023-05-03,318,310,8,55,255,29,226
2023-05-04,316,310,6,56,254,20,234
2023-05-05,312,302,10,48,254,17,237
2023-05-06,318,311,7,49,262,25,237
2023-05-07,318,310,8,56,254,21,233
2023-05-08,318,310,8,50,260,24,236
2023-05-09,314,301,13,53,248,18,230
2023-05-10,315,304,11,62,242,17,225
2023-05-11,317,305,12,56,249,17,232
2023-05-12,321,310,11,49,261,24,237
2023-05-13,314,291,23,43,248,26,222
2023-05-14,318,306,12,60,246,28,218
2023-05-15,317,309,8,47,262,27,235
2023-05-16,319,307,12,51,256,22,234
2023-05-17,314,306,8,45,261,16,245
2023-05-18,315,308,7,48,260,26,234
2023-05-19,315,299,16,57,242,26,216
2023-05-20,317,310,7,54,256,31,225
2023-05-21,318,308,10,53,255,23,232
2023-05-22,319,302,17,48,254,22,232
2023-05-23,316,300,16,59,241,24,217
2023-05-24,317,305,12,54,251,20,231
2023-05-25,319,307,12,65,242,24,218
2023-05-26,318,306,12,63,243,20,223
2023-05-27,324,311,13,39,272,23,249
2023-05-28,324,309,15,41,268,33,235
2023-05-29,324,311,13,46,265,20,245
2023-05-30,324,316,8,52,264,25,239
2023-05-31,324,312,12,48,264,30,234
2023-06-01,324,309,15,42,267,33,234
2023-06-02,324,305,19,45,260,34,226
2023-06-03,324,313,11,77,236,48,188
2023-06-04,324,313,11,46,267,58,209
2023-06-05,324,319,5,50,269,55,214
2023-06-06,324,311,13,57,254,45,209
2023-06-07,324,316,8,46,270,53,217
2023-06-08,324,314,10,52,262,30,232
2023-06-09,324,314,10,56,258,24,234
2023-06-10,324,317,7,45,272,27,245
2023-06-11,323,307,16,64,243,25,218
2023-06-12,323,313,10,65,248,21,227
2023-06-13,323,321,2,75,246,35,211
2023-06-14,323,308,15,63,245,29,216
2023-06-15,323,311,12,74,237,32,205
2023-06-16,324,309,15,55,254,28,226
2023-06-17,323,313,10,73,240,28,212
2023-06-18,323,317,6,72,245,30,215
2023-06-19,323,310,13,71,239,21,218
2023-06-20,323,314,9,81,233,32,201
2023-06-21,324,314,10,48,266,32,234
2023-06-22,323,303,20,60,243,30,213
2023-06-23,323,306,17,71,235,33,202
2023-06-24,324,315,9,47,268,24,244
2023-06-25,324,308,16,46,262,37,225
2023-06-26,324,312,12,50,262,30,232
2023-06-27,324,311,13,45,266,25,241
2023-06-28,324,309,15,45,264,18,246
2023-06-29,324,315,9,47,268,34,234
2023-06-30,324,314,10,47,267,32,235
2023-07-01,324,304,20,45,259,42,217
2023-07-02,324,310,14,40,270,30,240
2023-07-03,324,314,10,46,268,28,240
2023-07-04,324,314,10,45,269,32,237
2023-07-05,324,313,11,61,252,31,221
2023-07-06,324,311,13,50,261,34,227
2023-07-07,324,316,8,61,255,17,238
2023-07-08,324,308,16,60,248,21,227
2023-07-09,324,311,13,49,262,29,233
2023-07-10,324,314,10,58,256,23,233
2023-07-11,324,307,17,54,253,28,225
2023-07-12,324,316,8,50,266,29,237
2023-07-13,324,316,8,68,248,23,225
2023-07-14,324,311,13,69,242,30,212
2023-07-15,324,309,15,72,237,26,211
2023-07-16,324,316,8,73,243,24,219
2023-07-17,324,313,11,59,254,28,226
2023-07-18,324,317,7,63,254,27,227
2023-07-19,324,317,7,46,271,22,249
2023-07-20,324,310,14,70,240,20,220
2023-07-21,324,313,11,49,264,32,232
2023-07-22,324,314,10,53,261,24,237
2023-07-23,324,317,7,48,269,37,232
2023-07-24,324,314,10,56,258,29,229
2023-07-25,324,317,7,62,255,18,237
2023-07-26,324,308,16,46,262,28,234
2023-07-27,324,306,18,61,245,34,211
2023-07-28,324,307,17,57,250,30,220
2023-07-29,324,306,18,47,259,31,228
2023-07-30,324,313,11,63,250,25,225
2023-07-31,324,308,16,54,254,26,228
2023-08-01,324,311,13,61,250,26,224
2023-08-02,324,311,13,54,257,27,230
2023-08-03,324,316,8,66,250,34,216
2023-08-04,324,308,16,51,257,31,226
2023-08-05,324,301,23,54,247,35,212
2023-08-06,324,306,18,50,256,28,228
2023-08-07,324,312,12,53,259,29,230
2023-08-08,324,315,9,53,262,29,233
2023-08-09,324,318,6,69,249,28,221
2023-08-10,324,313,11,61,252,43,209
2023-08-11,324,319,5,66,253,31,222
2023-08-12,324,308,16,60,248,28,220
2023-08-13,324,307,17,62,245,39,206
2023-08-14,324,316,8,64,252,32,220
2023-08-15,324,313,11,60,253,37,216
2023-08-16,324,307,17,62,245,33,212
2023-08-17,324,317,7,67,250,27,223
2023-08-18,324,308,16,62,246,21,225
2023-08-19,324,306,18,63,243,30,213
2023-08-20,324,304,20,52,252,35,217
2023-08-21,324,311,13,70,241,29,212
2023-08-22,324,318,6,66,252,27,225
2023-08-23,324,308,16,58,250,34,216
2023-08-24,324,310,14,71,239,27,212
2023-08-25,324,307,17,64,243,35,208
2023-08-26,324,310,14,55,255,27,228
2023-08-27,324,303,21,56,247,41,206
2023-08-28,324,314,10,57,257,35,222
2023-08-29,324,318,6,62,256,25,231
2023-08-30,324,309,15,59,250,36,214
2023-08-31,324,311,13,64,247,23,224
2023-09-01,324,307,17,58,249,34,215
2023-09-02,324,311,13,61,250,25,225
2023-09-03,324,316,8,66,250,23,227
2023-09-04,324,317,7,57,260,29,231
2023-09-05,324,318,6,58,260,34,226
2023-09-06,324,312,12,57,255,42,213
2023-09-07,324,301,23,59,242,37,205
2023-09-08,324,309,15,62,247,25,222
2023-09-09,324,307,17,57,250,29,221
2023-09-10,324,304,20,61,243,33,210
2023-09-11,324,311,13,56,255,38,217
2023-09-12,324,312,12,64,248,27,221
2023-09-13,324,307,17,66,241,27,214
2023-09-14,324,311,13,66,245,28,217
2023-09-15,324,312,12,71,241,28,213
2023-09-16,324,313,11,55,258,32,226
2023-09-17,324,303,21,55,248,25,223
2023-09-18,288,277,11,62,215,29,186
2023-09-19,324,309,15,60,249,28,221
2023-09-20,324,312,12,62,250,25,225
2023-09-21,324,312,12,58,254,52,202
2023-09-22,324,311,13,62,249,38,211
2023-09-23,324,306,18,58,248,30,218
2023-09-24,324,308,16,58,250,40,210
2023-09-25,324,316,8,74,242,27,215
2023-09-26,324,298,26,53,245,38,207
2023-09-27,324,311,13,57,254,26,228
2023-09-28,324,308,16,64,244,26,218
2023-09-29,324,305,19,64,241,36,205
2023-09-30,324,308,16,61,247,42,205
2023-10-01,324,309,15,71,238,28,210
2023-10-02,324,307,17,62,245,35,210
2023-10-03,324,310,14,61,249,38,211
2023-10-04,324,315,9,63,252,35,217
2023-10-05,324,317,7,66,251,31,220
2023-10-06,324,309,15,72,237,39,198
2023-10-07,324,304,20,52,252,39,213
2023-10-08,324,305,19,62,243,37,206
2023-10-09,324,315,9,72,243,31,212
2023-10-10,324,316,8,71,245,26,219
